user_id,job_id,match_score,recommended,user_skill_count,job_req_count,skill_overlap_count,match_score_band
1,16,0.620420628487695,0,3,5,0,Low
2,30,0.823451061239694,1,3,5,3,Low
3,319,0.70382968381331,0,3,3,1,Low
4,399,0.224724411314933,0,3,5,1,Low
5,405,0.296453244608089,0,3,2,1,Low
6,66,0.674308906077285,0,2,4,0,Low
7,157,0.914254077562328,1,4,3,1,Low
8,53,0.138535812383841,0,2,5,0,Low
9,247,0.544927116293725,0,4,3,0,Low
10,68,0.709690541918073,0,4,3,2,Low
11,440,0.555503713045599,0,2,5,1,Low
12,95,0.337309908982089,0,4,2,0,Low
13,157,0.812377687483002,1,5,2,1,Low
14,132,0.888950672394128,1,2,2,0,Low
15,413,0.146152716522159,0,4,4,2,Low
16,62,0.872648995952047,1,3,4,2,Low
17,311,0.0351621446137677,0,2,5,0,Low
18,248,0.836816503586938,1,2,3,0,Low
19,276,0.315056808653317,0,4,5,0,Low
20,430,0.512374138180594,0,4,3,2,Low
21,308,0.837509635577337,1,3,3,0,Low
22,271,0.269972194466909,0,3,3,1,Low
23,224,0.531296017175433,0,3,4,1,Low
24,1,0.293643792019937,0,5,3,2,Low
25,7,0.548795085997771,0,3,5,1,Low
26,352,0.66940335856967,0,2,5,1,Low
27,169,0.728963650246312,0,5,2,1,Low
28,459,0.646410656356902,0,3,4,1,Low
29,376,0.650009546249487,0,2,4,1,Low
30,408,0.620779551698672,0,4,2,1,Low
31,461,0.954661008241141,1,2,3,0,Low
32,475,0.408083391541971,0,2,2,0,Low
33,336,0.0329543154352685,0,4,2,0,Low
34,374,0.77543878971952,0,5,5,2,Low
35,242,0.386423173557028,0,4,2,0,Low
36,224,0.554249948477468,0,3,4,2,Low
37,472,0.320784624966507,0,2,2,0,Low
38,399,0.698153201671799,0,5,2,1,Low
39,215,0.0629089777791494,0,3,5,3,Low
40,262,0.3293582860242,0,2,2,0,Low
41,304,0.188888912986576,0,4,5,2,Low
42,340,0.145919771849445,0,5,4,2,Low
43,465,0.196423386818008,0,5,5,3,Low
44,43,0.831134677922029,1,4,4,0,Low
45,423,0.345519810111646,0,3,3,0,Low
46,163,0.462689867496451,0,3,4,1,Low
47,361,0.398734690348593,0,3,2,0,Low
48,176,0.612995495376589,0,4,4,2,Low
49,124,0.543804100704986,0,5,2,1,Low
50,479,0.781008868933109,0,2,4,1,Low
51,9,0.992663431226497,1,2,5,1,Low
52,322,0.786804634699473,0,3,4,0,Low
53,453,0.771851312728615,0,5,5,3,Low
54,352,0.0441018711697113,0,4,5,2,Low
55,419,0.030939631265388,0,3,5,1,Low
56,105,0.244000322388201,0,4,5,2,Low
57,3,0.455884184980407,0,4,3,1,Low
58,473,0.00438394210748916,0,3,3,2,Low
59,497,0.968007069507498,1,2,3,1,Low
60,460,0.0571775260100295,0,3,3,1,Low
61,61,0.905274222696048,1,3,2,1,Low
62,292,0.358879988731252,0,4,2,0,Low
63,218,0.612870415180751,0,5,3,1,Low
64,270,0.297744976081618,0,5,4,4,Low
65,5,0.897495100202851,1,2,3,1,Low
66,298,0.197481544075225,0,3,3,1,Low
67,140,0.617614880635067,0,2,2,1,Low
68,466,0.554514637510724,0,3,4,0,Low
69,264,0.259449680932126,0,3,5,1,Low
70,419,0.630346164325733,0,5,3,1,Low
71,401,0.760672335549559,0,3,5,3,Low
72,24,0.816147218284857,1,2,3,1,Low
73,48,0.613285711199914,0,4,3,1,Low
74,215,0.175350517395327,0,5,2,0,Low
75,232,0.487993002181904,0,5,5,3,Low
76,167,0.468034075566084,0,4,5,1,Low
77,136,0.0173006947497768,0,2,5,1,Low
78,465,0.264169316537424,0,4,3,2,Low
79,496,0.518674495260941,0,4,5,2,Low
80,224,0.120443927534195,0,2,3,1,Low
81,319,0.303906189757398,0,2,4,2,Low
82,327,0.575424694117946,0,3,2,1,Low
83,15,0.0928461043577508,0,3,4,0,Low
84,107,0.557541639220944,0,4,3,1,Low
85,149,0.425930239628258,0,2,3,1,Low
86,373,0.456169933918652,0,4,4,1,Low
87,426,0.38511546975129,0,4,5,1,Low
88,254,0.453097161361039,0,2,5,2,Low
89,337,0.887343892913023,1,4,3,1,Low
90,47,0.255514922843885,0,3,3,1,Low
91,358,0.889775883693672,1,3,5,2,Low
92,67,0.762850360900668,0,2,5,1,Low
93,120,0.0603602359858887,0,5,5,4,Low
94,18,0.928456052487241,1,5,4,1,Low
95,397,0.185587071292135,0,5,4,3,Low
96,215,0.10194186117391,0,5,4,3,Low
97,197,0.459831120173804,0,4,5,3,Low
98,393,0.836637566406007,1,3,4,1,Low
99,357,0.237937941922186,0,4,4,1,Low
100,308,0.0746731815002271,0,2,4,0,Low
101,286,0.437800925687437,0,4,3,0,Low
102,28,0.275711915793008,0,5,2,2,Low
103,134,0.0598659227692248,0,5,4,2,Low
104,107,0.729610359159952,0,2,3,2,Low
105,453,0.343623582741741,0,5,2,1,Low
106,489,0.0588767978849103,0,2,2,1,Low
107,458,0.642741858677821,0,4,2,1,Low
108,388,0.25908791489421,0,4,4,1,Low
109,13,0.810217651455164,1,5,2,1,Low
110,262,0.114322094301684,0,4,4,1,Low
111,389,0.346019576133199,0,5,2,0,Low
112,91,0.197716460357793,0,4,3,2,Low
113,88,0.387555613338242,0,4,5,3,Low
114,325,0.0162440525151384,0,2,4,0,Low
115,153,0.350396605030885,0,2,5,1,Low
116,26,0.782636240575628,0,4,2,1,Low
117,266,0.174401124974825,0,2,3,1,Low
118,456,0.3004642753939,0,2,2,0,Low
119,184,0.75316375688684,0,3,2,1,Low
120,5,0.384727602945643,0,4,2,1,Low
121,94,0.981090575733949,1,2,4,1,Low
122,85,0.803046669603914,1,3,5,1,Low
123,463,0.365467763863507,0,5,3,2,Low
124,46,0.927962994094737,1,2,4,1,Low
125,269,0.0493774000524739,0,3,5,2,Low
126,257,0.254011861806063,0,3,5,1,Low
127,348,0.181245615440433,0,3,4,1,Low
128,321,0.62380248140675,0,2,3,1,Low
129,13,0.844401366487467,1,5,5,2,Low
130,113,0.202507667137171,0,3,5,1,Low
131,280,0.708168554252366,0,4,5,2,Low
132,359,0.024602154728508,0,4,5,1,Low
133,212,0.396485034274129,0,4,4,2,Low
134,211,0.785629041080767,0,4,3,1,Low
135,311,0.583961859486262,0,5,5,3,Low
136,29,0.810159492102023,1,5,3,2,Low
137,439,0.3959335589597,0,2,5,1,Low
138,377,0.626728710623954,0,3,5,1,Low
139,58,0.134980867901024,0,5,2,1,Low
140,233,0.082061130237533,0,4,2,1,Low
141,441,0.336753885322336,0,5,3,2,Low
142,68,0.0607088238293158,0,4,2,2,Low
143,320,0.0808756544152997,0,3,4,2,Low
144,172,0.618376834377291,0,2,2,0,Low
145,60,0.786016751802063,0,4,2,0,Low
146,237,0.420431728395057,0,3,2,1,Low
147,252,0.651609077643897,0,4,4,2,Low
148,99,0.989221788240465,1,3,2,1,Low
149,453,0.499695550776651,0,2,5,1,Low
150,485,0.0539374028677704,0,5,2,1,Low
151,337,0.963663635192343,1,4,4,1,Low
152,160,0.673807832920787,0,5,3,2,Low
153,159,0.639733165808952,0,4,5,2,Low
154,459,0.671976895629464,0,2,2,0,Low
155,378,0.726005166222583,0,4,3,0,Low
156,155,0.0153599252418295,0,3,4,2,Low
157,404,0.644438839360309,0,5,3,2,Low
158,75,0.521363607300894,0,4,2,0,Low
159,329,0.90591227719263,1,5,3,3,Low
160,379,0.492904255082216,0,4,4,1,Low
161,86,0.210057027667099,0,4,5,2,Low
162,468,0.705794306289826,0,4,5,1,Low
