User_ID,Job_ID,User_Skills,Job_Requirements,User_Skill_Count,Job_Req_Count,Skill_Overlap_Count,Match_Score_Band,Education_Level,Experience_Years,Location,Job_Role
U100000,J200000,"Deep Learning, C++, Machine Learning, Kubernetes, Pandas, Python, Java","Machine Learning, Python, Deep Learning, TensorFlow, SQL, Docker",7,6,3,Medium,Bachelor,2,Delhi,Software Engineer
U100001,J200001,"Machine Learning, Python, Leadership, Pandas, Java, Docker, NLP","Excel, Python, SQL, Docker",7,4,2,Medium,High School,8,Hyderabad,ML Engineer
U100002,J200002,"Communication, Statistics, AWS, NLP","Data Analysis, Leadership, NLP, Deep Learning",4,4,1,Low,Bachelor,9,Chennai,DevOps Engineer
U100003,J200003,"NumPy, C++, Statistics","Excel, Machine Learning, Deep Learning, Python",3,4,0,Low,Bachelor,3,Mumbai,Software Engineer
U100004,J200004,"Docker, AWS, Pandas, NumPy, Leadership","Data Analysis, TensorFlow, Power BI, Docker, Leadership",5,5,2,Medium,Bachelor,2,Pune,Business Analyst
U100005,J200005,"C++, Deep Learning, Leadership, Pandas, Communication","NLP, NumPy, SQL, C++, Leadership, Statistics",5,6,2,Medium,PhD,2,Delhi,Data Analyst
U100006,J200006,"Docker, Communication, Deep Learning","Python, Kubernetes, Docker",3,3,1,Medium,PhD,2,Delhi,Backend Developer
U100007,J200007,"SQL, AWS, Kubernetes","Data Analysis, Deep Learning, Docker, Tableau",3,4,0,Low,Bachelor,4,Chennai,Data Analyst
U100008,J200008,"Statistics, Tableau, Kubernetes, TensorFlow, NLP","NumPy, AWS, Tableau",5,3,1,Medium,High School,5,Hyderabad,Software Engineer
U100009,J200009,"Excel, Leadership, AWS, Pandas","Machine Learning, Tableau, Pandas, Excel, Kubernetes, Deep Learning, Leadership",4,7,3,Medium,High School,5,Mumbai,Backend Developer
U100010,J200010,"Data Analysis, Pandas, Statistics, Leadership","Excel, TensorFlow, Power BI, Python, Machine Learning",4,5,0,Low,Bachelor,9,Bangalore,DevOps Engineer
U100011,J200011,"Tableau, Machine Learning, NLP, AWS, Deep Learning","Machine Learning, Data Analysis, NumPy, SQL, C++",5,5,1,Low,Master,2,Pune,ML Engineer
U100012,J200012,"NumPy, Docker, Python, Statistics, Deep Learning","Data Analysis, Pandas, AWS, C++, Leadership, Docker",5,6,1,Low,High School,7,Delhi,Data Analyst
